,Country,Year,Daily Caloric Supply
11039,Congo,2000,2177.0
11040,Congo,2001,2232.0
11041,Congo,2002,2259.0
11042,Congo,2003,2236.0
11043,Congo,2004,2263.0
11044,Congo,2005,2043.0
11045,Congo,2006,2143.0
11046,Congo,2007,2135.0
11047,Congo,2008,2110.0
11048,Congo,2009,2142.0
11049,Congo,2010,2143.0
11050,Congo,2011,2185.0
11051,Congo,2012,2158.0
11052,Congo,2013,2208.0
11053,Congo,2014,2221.0
11054,Congo,2015,2294.0
11055,Congo,2016,2229.0
11056,Congo,2017,2244.0
11057,Congo,2018,2285.0
11256,Congo,2019,
11257,Congo,2020,
11258,Congo,2021,
