,Country,Year,Daily Caloric Supply
36424,Niger,2000,2328.0
36425,Niger,2001,2341.0
36426,Niger,2002,2309.0
36427,Niger,2003,2401.0
36428,Niger,2004,2453.0
36429,Niger,2005,2444.0
36430,Niger,2006,2442.0
36431,Niger,2007,2461.0
36432,Niger,2008,2520.0
36433,Niger,2009,2523.0
36434,Niger,2010,2533.0
36435,Niger,2011,2534.0
36436,Niger,2012,2567.0
36437,Niger,2013,2547.0
36438,Niger,2014,2556.0
36439,Niger,2015,2566.0
36440,Niger,2016,2583.0
36441,Niger,2017,2596.0
36442,Niger,2018,2601.0
36641,Niger,2019,
36642,Niger,2020,
36643,Niger,2021,
