IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.15,,,7.57,,13.47,10.15 [7.57 – 13.47],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.26,,,6.91,,14.95,10.26 [6.91 – 14.95],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.33,,,7.4,,14.23,10.33 [7.4 – 14.23],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,TGO,Togo,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,10.34,,,7.77,,13.62,10.34 [7.77 – 13.62],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,10.51,,,6.9,,15.67,10.51 [6.9 – 15.67],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,GIN,Guinea,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.61,,,7.87,,14.15,10.61 [7.87 – 14.15],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,TRUE,Sex,Both sexes,BTSX,,,,,,,,,,10.73,,,7.52,,15.05,10.73 [7.52 – 15.05],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.85,,,7.66,,15.14,10.85 [7.66 – 15.14],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,10.86,,,7.24,,15.96,10.86 [7.24 – 15.96],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,TRUE,Sex,Female,FMLE,,,,,,,,,,10.9,,,7.58,,15.43,10.9 [7.58 – 15.43],,,EN,2018-09-13T05:00:00.000Z
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,TRUE,Sex,Male,MLE,,,,,,,,,,11.02,,,8.3,,14.47,11.02 [8.3 – 14.47],,,EN,2018-09-13T05:00:00.000Z
